file,source_path,copied_path,extract_path,sha256,sha256_12,size_bytes,format,target_node,topic,duplicate_of,import_status,risk_note,extracted_chars
ACC&FB群组&Deal站&KOL&站外CPC&联盟营销社媒.pptx,/Users/pray/project/shopify/inbox/ACC&FB群组&Deal站&KOL&站外CPC&联盟营销社媒.pptx,originals/ACC&FB群组&Deal站&KOL&站外CPC&联盟营销社媒.pptx,extracts/ACC&FB群组&Deal站&KOL&站外CPC&联盟营销社媒.txt,262ecc8c80c802abc1727b6581f5b8f4dd971e24bf9a032967ab8452c84dc12b,262ecc8c80c8,5369323,pptx,05-营销与引流,站外组合增长/KOL/Deal/联盟,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,7862
GMV千万美金广告作战方案(1).xmind,/Users/pray/project/shopify/inbox/GMV千万美金广告作战方案(1).xmind,originals/GMV千万美金广告作战方案(1).xmind,extracts/GMV千万美金广告作战方案(1).txt,93a81372513061b6324e6c6315f83be4b345bac009f8e5092bb471463db5a060,93a813725130,153977,xmind,07-数据与归因,GMV广告作战/SA-DSP指标,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,5562
KOL+联盟营销组合打法.pptx,/Users/pray/project/shopify/inbox/KOL+联盟营销组合打法.pptx,originals/KOL+联盟营销组合打法.pptx,extracts/KOL+联盟营销组合打法.txt,262ecc8c80c802abc1727b6581f5b8f4dd971e24bf9a032967ab8452c84dc12b,262ecc8c80c8,5369323,pptx,05-营销与引流,站外组合增长/KOL/Deal/联盟,ACC&FB群组&Deal站&KOL&站外CPC&联盟营销社媒.pptx,merged_duplicate,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,7862
listing优化模板.xlsx,/Users/pray/project/shopify/inbox/listing优化模板.xlsx,originals/listing优化模板.xlsx,extracts/listing优化模板.txt,6a39b95bb34d315b315c18facec56494f745a29dcfa6d768cd05412b6b80932a,6a39b95bb34d,91735884,xlsx,"03-商品上架与Listing,07-数据与归因",Listing/PDP/关键词库/广告关键词,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,79416
workflow01.png,/Users/pray/project/shopify/inbox/workflow01.png,originals/workflow01.png,extracts/workflow01.txt,5ef34c8c0abae6a3e63ac90b63a531915e840742c2619e04b468c8e937fd58ea,5ef34c8c0aba,2684413,png,"90-AI能力地图,10-自动化编排",AI Agent运营工作流图片,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,102
【06产品开发】亚马逊选品干货：社交媒体掘金选品.docx,/Users/pray/project/shopify/inbox/【06产品开发】亚马逊选品干货：社交媒体掘金选品.docx,originals/【06产品开发】亚马逊选品干货：社交媒体掘金选品.docx,extracts/【06产品开发】亚马逊选品干货：社交媒体掘金选品.txt,e5928be71ac269069f929e2c50ee3a68fccf000be9713a5fa0761f962a3e69ce,e5928be71ac2,6858871,docx,01-选品与市场调研,社媒掘金选品,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,5283
【0718站外】Slickdeals使用指南..docx,/Users/pray/project/shopify/inbox/【0718站外】Slickdeals使用指南..docx,originals/【0718站外】Slickdeals使用指南..docx,extracts/【0718站外】Slickdeals使用指南..txt,bd708e2172539824e48667eac4a5764b36de38f8770809184023526addd53b98,bd708e217253,1322044,docx,"05-营销与引流,91-合规与风控",Slickdeals/Deal站风控,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,4694
【08独立站】独立站大卖实操干货：Facebook矩阵长效养号完整攻略.docx,/Users/pray/project/shopify/inbox/【08独立站】独立站大卖实操干货：Facebook矩阵长效养号完整攻略.docx,originals/【08独立站】独立站大卖实操干货：Facebook矩阵长效养号完整攻略.docx,extracts/【08独立站】独立站大卖实操干货：Facebook矩阵长效养号完整攻略.txt,a8668560c0a345dd46e7d2598a0c5adef98a58646dfed18455c2eef27a5abe57,a8668560c0a3,178233,docx,"05-营销与引流,91-合规与风控",Facebook矩阵养号/群组运营风控,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,3491
产品力提升x爆品创新，单SKU年销破2000W.pptx,/Users/pray/project/shopify/inbox/产品力提升x爆品创新，单SKU年销破2000W.pptx,originals/产品力提升x爆品创新，单SKU年销破2000W.pptx,extracts/产品力提升x爆品创新，单SKU年销破2000W.txt,d1f9ad1e079f7295e593ccd5bb77476bdbc9bef2a7c5bacc98a8384f8fc51576,d1f9ad1e079f,4763002,pptx,"01-选品与市场调研,04-内容与素材生产",产品力/爆品创新/产品矩阵,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,4361
广告高阶打法&数据分析.docx,/Users/pray/project/shopify/inbox/广告高阶打法&数据分析.docx,originals/广告高阶打法&数据分析.docx,extracts/广告高阶打法&数据分析.txt,231a118ed0061bce667604e757a94ba6cadef6905c5897487124b47ee2c63dfb,231a118ed006,1661548,docx,07-数据与归因,广告高阶打法/数据分析,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,901
手把手带你做广告报告分析.docx,/Users/pray/project/shopify/inbox/手把手带你做广告报告分析.docx,originals/手把手带你做广告报告分析.docx,extracts/手把手带你做广告报告分析.txt,d288d1b1e8a81041b67606f635b0d35e2f54702904fa5d14860244d970367f24,d288d1b1e8a8,950918,docx,07-数据与归因,广告报告分析/Placement/Search Term,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,4534
推测规律总结&广告拆解逻辑.xmind,/Users/pray/project/shopify/inbox/推测规律总结&广告拆解逻辑.xmind,originals/推测规律总结&广告拆解逻辑.xmind,extracts/推测规律总结&广告拆解逻辑.txt,455f0452228d91fd49c6ed206462b3270a5748ec619dedec0a01f34ad264f914,455f0452228d,151524,xmind,07-数据与归因,广告结构推断/搜索词规律,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,1318
独立站从0-1搭建高流量店铺.pptx,/Users/pray/project/shopify/inbox/独立站从0-1搭建高流量店铺.pptx,originals/独立站从0-1搭建高流量店铺.pptx,extracts/独立站从0-1搭建高流量店铺.txt,657f8e6924bb861e30262e299277efc7c690b007774ffb04bef0c7c32f92e3e5,657f8e6924bb,3856715,pptx,"02-建站与基础设施,05-营销与引流",独立站0-1/高流量店铺,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,4388
独立站新手高频问题解答.pdf,/Users/pray/project/shopify/inbox/独立站新手高频问题解答.pdf,originals/独立站新手高频问题解答.pdf,extracts/独立站新手高频问题解答.txt,fcacef135e25c3881505abb4c1eb4500b45732fde0d3408726a37dfcc0553d58,fcacef135e25,429998,pdf,02-建站与基础设施,独立站新手FAQ/建站成本/工具取舍,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,1899
独立站网红+全域社媒流量增长.pptx,/Users/pray/project/shopify/inbox/独立站网红+全域社媒流量增长.pptx,originals/独立站网红+全域社媒流量增长.pptx,extracts/独立站网红+全域社媒流量增长.txt,f935785aec0181324501d09dbd8d6a06b02520658bc1e7ad126b1eb73f2d1704,f935785aec01,8115110,pptx,05-营销与引流,网红/全域社媒/Reddit/旺季节奏,,imported,本地资料来源;平台规则/广告算法/业绩数字需外部核验;不作为官方事实,2474
