source_row,图片,ASIN,近30天销售额($),主图1,展示卖点,主图2,展示卖点_2,主图3,展示卖点_3,主图4,展示卖点_4,主图5,展示卖点_5,主图6,展示卖点_6,主图7,展示卖点_7,主图8,展示卖点_8,主图9,展示卖点_9,A+1,展示卖点_10,A+2,展示卖点_11,A+3,展示卖点_12,A+4,展示卖点_13,A+5,展示卖点_14,A+6,展示卖点_15,A+7,展示卖点_16,A+8,展示卖点_17,A+9,展示卖点_18,A+10,展示卖点_19,A+11,展示卖点_20,A+12,展示卖点_21,A+13,A+14,unnamed_48,unnamed_49
2,"'=DISPIMG(""ID_B28BEB576B254F45B67EB52415023608"",1)",B0CGJ5GZWM,,"'=DISPIMG(""ID_B28BEB576B254F45B67EB52415023608"",1)","主：外观
次：配件","'=DISPIMG(""ID_13D9CA6DCBAE49AF8EE9B5CA35D6F117"",1)",主：LED的灯,"'=DISPIMG(""ID_BB26BA0D9B9B4E9196C10A1419663C11"",1)","主：电压高 3000A
次：启动快
汽车 10L ；
柴油车10L；","'=DISPIMG(""ID_E40C5ABEDFE54817AB5A81365BBDFC4B"",1)","主：气压大 150PSI
次：多气压单位","'=DISPIMG(""ID_54019F54E5D542469FEFFF577D7A0B99"",1)","主：做充电宝
次：多种充电口","'=DISPIMG(""ID_6796CD0A42434A2FA9A31B3C422EBDBE"",1)","主：大屏
次：气压监测
屏幕内容","'=DISPIMG(""ID_13D9CA6DCBAE49AF8EE9B5CA35D6F117"",1)",主：LED灯,,,,,"'=DISPIMG(""ID_9C8E05A2ED3D440F9611FAF397EE5A41"",1)","主：
电流大 3000A
次：
气压大 150PSI
电容大 81Wh
亮度大 流明高 300lumen","'=DISPIMG(""ID_27B214E36C7D450E8A0867DBD724AA79"",1)","主：
汽车启动适配多
1.5L 2.5L 3.5L 5.5L 7.5L 9L
次：
电流大 3000A
电伏大 12V
汽车启动大 9L
柴油车启动大 8L
自助性强 0帮助","'=DISPIMG(""ID_ECC4205A1AB443C696850E8D45E87E46"",1)","主：
做充电宝
次：
输出大1: 5V/2.4A
输出大2: 5V/2.4A,9V/2A,12V/1.5A
输入大: 5V/2A,9V/2A,
DC大：12V-16.8V/10A","'=DISPIMG(""ID_7772B8F80623480FBD1F9CBF64211EEB"",1)","主：
气压大 150PSI
次：
适用4种设备模式
汽车 摩托车 自行车 球类","'=DISPIMG(""ID_4B27EDD8F1704652A2DBC3CB5D3CF208"",1)","主：
操作便捷 3步
次：
操作流程","'=DISPIMG(""ID_8A447EABF3F24064A038BFF1F3CF29C0"",1)","主：
快速启动
次：
气压大 150PSI
做充电宝 电容大
照明时间久
安全性高 10项安全措施
LED屏幕
24小时售后",,,,,,,,,,,,,,,,
3,"'=DISPIMG(""ID_4702278D505844FE95A2BBD41BAF5411"",1)",B0BBG7RZTN,,"'=DISPIMG(""ID_BBD05E5A71144333A58661133F0D9C5D"",1)","主：外观
次：配件","'=DISPIMG(""ID_E4286BEE123B490B968F03963BB34B98"",1)","主：启动快 电流大4250A
次：电压大 12V ；
汽车 10L ；
柴油车10L；
70s启动；
待机久 24个月","'=DISPIMG(""ID_D136AD4EF408446F98730DE8227CF8CB"",1)","主：气压大 160PSI
次：多气压单位 3种气压单位 PSI BAR KPA","'=DISPIMG(""ID_82F0FB929765489F93B523721C664411"",1)","主：大屏
次：气压监测
屏幕内容","'=DISPIMG(""ID_1F971DBF53A847078BA4B3C40AD5A966"",1)","主：散热好
次：提高安全性 30%；延长寿命 50%","'=DISPIMG(""ID_E0B92217AA634D9BB9CC6FEFED00FA7C"",1)","主：质量好
次：电池循环次数多 1000+
寿命长 5年
温度低 10°
适用温度范围大 -4°---140°","'=DISPIMG(""ID_E46FB47D5C2F404FBB2A37EB8C59F350"",1)","主：做充电宝 充电次数多
次：可自充电",,,,,"'=DISPIMG(""ID_E6045C89F1054CD784CC2E0ECA87F7F9"",1)",,"'=DISPIMG(""ID_7EF27EC92E7E466D8AAF9222DB1A87B5"",1)","主：
启动快
次：
电流大 4250A
气压大 160PSI","'=DISPIMG(""ID_4535057849F849BC856E865752304197"",1)","主：
汽车启动适配多
2L 3.5L 5.5L 7.5L 10L
次：
电流大 4250A
电伏大 12V
汽车 10L
柴油车 10L
启动快 70S","'=DISPIMG(""ID_8F619611D2A94861B16640C9782CF2AF"",1)","主：
屏幕大","'=DISPIMG(""ID_A7AE46DCCB574001B656E6F18BDC7320"",1)","主：
气压大 160PSI
次：
3种气压单位
充气快 0-20PSI/2分钟","'=DISPIMG(""ID_0DC18B3D4410458B8F49DFF3A45DC219"",1)","主：
充气快 2分钟充满
次：
45L/分钟","'=DISPIMG(""ID_970CC1F876DA4566AD6212675CDC0BB9"",1)","主：
安全性高
次：
10种安全措施","'=DISPIMG(""ID_AE8BC290F6E04D41AF4795D9E8CCCF53"",1)","主：
待机时间久 24个月","'=DISPIMG(""ID_6AE2CEEA42474A639150B94C3AFF9DF8"",1)","主：
做充电宝","'=DISPIMG(""ID_B18B61FA3A47465DA213E02068ADBF16"",1)","主：
操作便捷
次：
充气流程
启动流程","'=DISPIMG(""ID_81D1ECCF1FBE40339C96AD222E8DB77B"",1)",主：使用温度区间大,"'=DISPIMG(""ID_C1EF2FADCF694A10ADD509402391A61C"",1)","主：LED灯 亮度大 400Lumen
次：
3种亮灯方式 常亮 闪光 SOS
2种色温 白色 红色","'=DISPIMG(""ID_EBDD6E873CFA496F8D863C8E781FDBE8"",1)","主：LED灯 亮度大 400Lumen
次：红色灯光 做警示灯","'=DISPIMG(""ID_C8D9BC8A7DE9421687D33E30FA5349F9"",1)",主：配件多 全家福
4,"'=DISPIMG(""ID_D031F18198E34507AD4063F3A91EDB1F"",1)",B093JZPGW6,,"'=DISPIMG(""ID_FC94B279BA2C4210BC86307D313F6916"",1)","主：外观
次：配件","'=DISPIMG(""ID_0E246DA787D047268932F2CD0581116A"",1)","主：外观好看 扁平设计
次：启动快 30S
电流大 1500A
电伏高 12V
汽车 7L ；
柴油车4.5L；","'=DISPIMG(""ID_9789B4E67D794753B1F0D4308309E1ED"",1)","主：充气快
次：气压阈值区间大 10-150PSI
不同尺寸轮胎的充气时间","'=DISPIMG(""ID_B784CE3C02824023B7B19860C196B3BE"",1)",主：智能安全夹子,"'=DISPIMG(""ID_601CCB048E7F450D9F4F671181DEEF70"",1)",主：做充电宝 充电次数多,"'=DISPIMG(""ID_2FE800FBC680482F908ECB23AE7D6EFA"",1)","主：LED灯 高亮度 300流明
次：三种亮灯模式 常亮 爆闪 SOS","'=DISPIMG(""ID_9C07A2FF6E5B4927853C9815F88738DD"",1)",主：安全系数高 电池管理系统好,"'=DISPIMG(""ID_E61D46848FBA48B190782593E0E63613"",1)",主：配件多,"'=DISPIMG(""ID_0B777D8D307C4A298F9197E76C25DAD3"",1)",主：外观,"'=DISPIMG(""ID_99D0E7164BB44785B1348CFCEF07B357"",1)","主：四合一
次：
电流大 1500A
气压大 150PSI
电容大 45Wh
亮度大 300LUMEN","'=DISPIMG(""ID_D0150C43C5EA4CAFA83ACE08B0420E2A"",1)","主：
电压大 12V
启动快 30S
汽车启动大 7L
柴油车启动大 4.5L","'=DISPIMG(""ID_BD228A85757648E6A9756E97ACC80393"",1)","主：
配件多 3种气嘴
次：
充气效率高：35L/分钟
充气多：1个10KG轮胎或4-6个普通轮胎","'=DISPIMG(""ID_4AB8231CBCDC4ED58D2BEB3BC241C0BD"",1)","主：
操作面板简约
次：
面板内容展示","'=DISPIMG(""ID_D9CBDEE5546C449886BBF4FFB4528A24"",1)","主：
质量好
次：
爆炸图","'=DISPIMG(""ID_18D24B7D15BF4C4A99F338B29D7AF11E"",1)","主：
待机时间久 30个月

次：
自放电功率低 0.895wh","'=DISPIMG(""ID_88A9D7AEADC2435080D40A568CD686C9"",1)","主：
LED灯 亮度大 300lumen
次：
照明时间久 18小时
3种亮灯模式 常量 闪光 SOS","'=DISPIMG(""ID_57777B92083F4BC19E53DB2F6C738F8F"",1)","主
外壳质量好
次：
通风格栅
高密度材料
耐热耐寒
不易纤维化。","'=DISPIMG(""ID_73870E1A298C46E69FF2AB8B0AB64AC5"",1)","主：
夹子安全性高
次：
安全智能
0火花
IP63防水
94VO阻燃
-4'F/122F工作温度","'=DISPIMG(""ID_7CB1093508CF4241A5DCFEBC0EAE1CE3"",1)","主：
防滑性高
次：
4个脚垫
降低30%震动摩擦","'=DISPIMG(""ID_A9F40DD5454E474BA7CE0297C89EB2EE"",1)","主：
散热好 3倍散热
次：
充气时间增加25%
寿命增加200%",,,,,,
5,"'=DISPIMG(""ID_97F2916D09984B2E94AD8923B95FE108"",1)",B0BG2LDTM6,,"'=DISPIMG(""ID_E366ED29D032478FA3D87BB78A581E90"",1)","主：外观
次：配件","'=DISPIMG(""ID_6CF942EC727F4F78B9A0DE7570ADCAF5"",1)","主:启动快
次：电流大 2500A
汽车 8.5L
自助性强：0","'=DISPIMG(""ID_28F8267FAA054CD59B7F4E718E108BFE"",1)","主：充气快
次：气压大 MAX 150PSI","'=DISPIMG(""ID_381CC4D537CB4B6EA2D94C06BC960108"",1)","主：可做充电宝
次：多种充电口","'=DISPIMG(""ID_13272F5C150145038D6C74CE2210F67E"",1)","主：LED灯
次：三种亮灯模式 常亮 爆闪 SOS",,,,,,,,,"'=DISPIMG(""ID_DB90458B4DA94E2C885941B3FFEE4EDF"",1)","主：
充气启动二合一
次：
汽车启动 8.5L
气压大 150PSI
电容大 74Wh
LED灯亮度大 250LUMEN","'=DISPIMG(""ID_11FB5A6480134B289532EDE29E6DEACC"",1)","主：
多种充气模式 3种充气模式
汽车/摩托车/自行车/球类/泳圈
次：
多种气压单位 3种气压单位
BAR KPA PSI","'=DISPIMG(""ID_8473F9335DA54AA1ADD411C6510DBC81"",1)","主：
做充电宝
次：
适用多种数码产品","'=DISPIMG(""ID_640990E79016463896FB49206A198813"",1)","主：
安全性高
次：
无火花无损伤
自动检测电池连接","'=DISPIMG(""ID_386D417143794BFB8910304300897669"",1)","主：
人体工程学外观设计
次：
数码屏幕
金属质感
操作简单
易于抓握","'=DISPIMG(""ID_6869DECF6D1645EC8E8FB667D25F63FC"",1)","主：
操作便捷
次：
4步操作","'=DISPIMG(""ID_9F2833334991477AB4EDB0E0A86B83E9"",1)","主：外观
次：
无电源线
倍数功率
亮灯时间久 48h
快速启动
LCD数码屏幕
安全芯片",,,,,,,,,,,,,,
6,"'=DISPIMG(""ID_32907D8279894F59962E95EB46BDE7F6"",1)",B0CJJWJG6S,,"'=DISPIMG(""ID_32907D8279894F59962E95EB46BDE7F6"",1)","主：外观
次：配件","'=DISPIMG(""ID_544D311DDC9244709F8610BE9C1C3358"",1)","主：智能芯片 不分正负极不短路
次：电流大 2500A
汽车 8.5L
柴油车 7L","'=DISPIMG(""ID_E07FA6CF4A0E4A659E9EC08571ADF7E9"",1)",主：便携,"'=DISPIMG(""ID_2314E969847646E695E9099FD7B001A1"",1)","主：气压大 150PSI
次：多气压模式 适合多种产品","'=DISPIMG(""ID_C4924C5689014D15A61B372BBA518676"",1)",主：气压监测,"'=DISPIMG(""ID_6EA635838EA94D3B9B4031B97324221F"",1)","主：LED灯
次：三种亮灯模式 常亮 爆闪 SOS","'=DISPIMG(""ID_CF9CCF1CA26F432AB1699EEBBBDBD333"",1)","主：做充电宝
次：充电快",,,,,"'=DISPIMG(""ID_6F5FC44AFCA343DCB4AD63EA6AC1B4CF"",1)","主：
充满自停
次：
充气快
适用充气产品多","'=DISPIMG(""ID_7DA551E933314268AB515EBCFFDF0C5A"",1)","主：做充电宝
次：
功率大 18W
适用充电设备多，数码产品","'=DISPIMG(""ID_20DE9C77F92D4E73BE877A07EF32B4D2"",1)","主：
LED灯
次：
多种亮灯模式 3种 常亮 闪光 SOS","'=DISPIMG(""ID_01319EFDFB1A4303BECE64D50F406B3C"",1)","主：工作温度阈值区间大
次：
-45/85°华氏度","'=DISPIMG(""ID_F964E79CCBAC4C8B86C35361433E40A2"",1)",主：充满自停,"'=DISPIMG(""ID_6D0029CB63AD4DF7B079E8743FB4FC49"",1)","主：启动快
次：0电压","'=DISPIMG(""ID_3D8BCC5EF598438E864178FC6570F17F"",1)","主：安全性高
次：8大安全模式","'=DISPIMG(""ID_CE0661EB86844FF98A4DB1C5EEA6112E"",1)","主：操作便捷
次：4步操作",,,,,,,,,,,,
7,"'=DISPIMG(""ID_6116E2DF583742E0BDB5DA517281879D"",1)",B0CQJYXQL8,,"'=DISPIMG(""ID_6116E2DF583742E0BDB5DA517281879D"",1)","主：外观
次：配件","'=DISPIMG(""ID_36685026BDEC4CB88FA10AD06A36B652"",1)","主：适合汽车型号多 适配所有12V电压的汽车
次：电流大5000A
所有汽车
柴油车 10L
启动快 60S","'=DISPIMG(""ID_7A0E1DD68BCB4DF59E13595B78BE7FEF"",1)","主：电容大 99Wh
次：多种充电口
适用充电设备多","'=DISPIMG(""ID_72A6830D6A654CB1AB3FBD4FF632012F"",1)","主：大屏
次：
屏幕内容
气压监测
异常监测","'=DISPIMG(""ID_CC39A329B3084E00AFEEBAB39E70BEEF"",1)","主：LED灯 高亮度 400流明
次：三种亮灯模式 常亮 爆闪 SOS","'=DISPIMG(""ID_56E53FB214304700B5967FB6E13368B7"",1)","主：气压大 150PSI
次：
无电源线
精准胎压监测
适用充气设备多","'=DISPIMG(""ID_8BC4A52176CB4C8C9FE8DF95D52A1A0E"",1)","主：多种充电口
次：按键分布简约","'=DISPIMG(""ID_7313199C15B94A1D8DB91D45DE27BBD0"",1)",主：操作简单,,,"'=DISPIMG(""ID_E495B1E3A5A648009D28979C939184C9"",1)","主：电流大 5000A
次：
电容大 99Wh
LED灯亮度大 400LUMEN
启动汽车多
1.5L 2.5L 5.5L 6.5L 10L","'=DISPIMG(""ID_65FC074BE8874E4AA3A5B0557193AF32"",1)","主：工作温度阈值区间大
次：-4F/20℃至140F/60℃℃","'=DISPIMG(""ID_D2C51E98BCE545C19C91B2BA58FD27A4"",1)","主：安全性高
次：10种安全方式","'=DISPIMG(""ID_7A5B8617680A4C4793E9F83BFD262130"",1)","主：LED灯
次：3种照明方式
常亮 闪光 SOS","'=DISPIMG(""ID_D039BD4B662A4E368D33E2227AC1D0D8"",1)","主：做充电宝
次：
电容大 99Wh
多个输出充电口 3个口
USB 1 (5V 3.1A)
USB 2 (5V 3.1A)
Type-c in /out (5V 3A)","'=DISPIMG(""ID_3655F7D58840424A9B9F4AC1433C7D32"",1)","主：操作便捷
次：充气/启动操作详细步骤","'=DISPIMG(""ID_6880D09EEDCC403DA072BB99479D0EE5"",1)",主：配件多,,,,,,,,,,,,,,
